Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Affects versions,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category,Status Category Changed
Missing $ sign in the withdraw List,S1A-16,10043,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,Low,,,,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,03/Feb/24 4:15 AM,03/Feb/24 4:15 AM,03/Feb/24 11:19 PM,,ATM System - Lab 1 Version 1.1,,,,0,"The Withdraw List has a missing $ on the third choice

!image-20240203-111003.png|width=407,height=263!",,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,,,,,,,,,03/Feb/24 4:15 AM;712020:df4db3b4-9371-423b-8d04-6f61394f4827;image-20240203-111003.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10013,,,,,,,,,,,,,,,,,0|i0007r:,,,,,,,,,,,,To Do,03/Feb/24 4:15 AM
Balance inquiry for the Saving Account Gives Unkown Error ,S1A-15,10042,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,Highest,,,,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,03/Feb/24 4:04 AM,03/Feb/24 4:05 AM,05/Feb/24 9:40 PM,,ATM System - Lab 1 Version 1.1,,,,0,"When Doing an inquiry for a savings account for a user that has access to A savings account it Gives Unknown Error and Throws $500 but gives the data

!Desktop Screenshot 2024.02.03 - 03.56.44.14.png|width=466,height=342!

Steps to recreate:

Pre Cond

Make sure you are running V1.1

Steps:

1-Click ON to activate the machine 

2-Enter an arbitrary amount of $20 bills 

3-Insert Card

4- Enter a card information for an account that has access to a savings account

5- Click Balance Inquiry

6- Choose Savings

 ",,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,,,,,,,,,03/Feb/24 4:04 AM;712020:df4db3b4-9371-423b-8d04-6f61394f4827;Desktop Screenshot 2024.02.03 - 03.56.44.14.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10012,,,,,,,,,,,,,,,,,0|i0007j:,,,,,,,,,,,,To Do,03/Feb/24 4:05 AM
The Balance Inquiry Transaction Choice Shows only 2 accounts Money Market and Checking accounts,S1A-14,10041,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,High,,,,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,03/Feb/24 3:48 AM,03/Feb/24 3:48 AM,05/Feb/24 9:40 PM,,ATM System - Lab 1 Version 1.0,,ATM System - Lab 1 Version 1.1,,0,"!image-20240203-104744.png|width=411,height=264!",,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,,,,,,,,,03/Feb/24 3:48 AM;712020:df4db3b4-9371-423b-8d04-6f61394f4827;image-20240203-104744.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10011,,,,,,,,,,,,,,,,,0|i0007b:,,,,,,,,,,,,To Do,03/Feb/24 3:48 AM
Clicking On Any Number other than 1 or 2 in the prompt after cancel it Gives $20 bills to the user.,S1A-13,10040,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,High,,,,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,03/Feb/24 3:36 AM,03/Feb/24 3:36 AM,05/Feb/24 9:40 PM,,ATM System - Lab 1 Version 1.0,ATM System - Lab 1 Version 1.1,,,0,"Clicking On Any Number other than 1 or 2 in the prompt after canceling it Gives $20 bill to the user.

!Desktop Screenshot 2024.02.03 - 03.13.54.42.png|width=1440,height=810!



Steps to Recreation:

1-Click On 

2-Enter an arbitrary number of bills

3- pick the Transaction Type

4- Click Cancel

5- Click any number other than 1 or 2

 ",,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,,,,,,,,,03/Feb/24 3:36 AM;712020:df4db3b4-9371-423b-8d04-6f61394f4827;Desktop Screenshot 2024.02.03 - 03.13.54.42.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10009,,,,,,,,,,,,,,,,,0|i00073:,,,,,,,,,,,,To Do,03/Feb/24 3:36 AM
Minor Spelling Mistake when doing a cancelation to any Transaction it Says wood.,S1A-12,10039,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,Lowest,,,,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,03/Feb/24 3:04 AM,03/Feb/24 3:06 AM,05/Feb/24 9:40 PM,,ATM System - Lab 1 Version 1.0,,ATM System - Lab 1 Version 1.1,,0,"Minor Spelling Mistake when doing a cancelation to any Transaction it Says wood instead of would.

!Cap Wood.PNG|width=274,height=177!

Steps to Recreation:

Pre Cond: 

Running V1.0

Steps:

1-Click On 

2-Enter an arbitrary amount of $20 bills 

3-Insert card and enter Valid Card info

4-Click on Withdrawal 

5- Click Cancel

h1. *Fixed In V1.1*",,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,,,,,,,,,03/Feb/24 3:06 AM;712020:df4db3b4-9371-423b-8d04-6f61394f4827;Cap Wood.PNG;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10008,,,,,,,,,,,,,,,,,0|i0006v:,,,,,,,,,,,,To Do,03/Feb/24 3:04 AM
"After Making a Deposit in Checking Account, System  Freezes and Shows a Defect if Any Number Other Than 1 or 2 Is Clicked to Make a New Transaction",S1A-5,10032,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,Medium,,,,Md Rakin Ashraf Khan,712020:f6fecafc-b5da-438a-9ad0-de6a5d5ac48b,Md Rakin Ashraf Khan,712020:f6fecafc-b5da-438a-9ad0-de6a5d5ac48b,02/Feb/24 4:21 PM,02/Feb/24 4:28 PM,05/Feb/24 9:40 PM,,,,ATM System - Lab 1 Version 1.0,,0,"Tests completed confirm bug:

|*Function Tested*|*Initial State of System*|*Steps Taken to Produce Defect/Bug*|*Expected Outcome*|*Actual Outcome*|*Pass/Fail?*|
|Click any number after making a deposit|Would you like to do another transaction? 
1) Yes
2) No|Click 5|System freezes and $20.00 message is shown|System will not freeze and the and screen will just show,
Would you like to do another transaction? 
# Yes
# No|Fail|",,Md Rakin Ashraf Khan,712020:f6fecafc-b5da-438a-9ad0-de6a5d5ac48b,,,,,,,,,02/Feb/24 4:16 PM;ug:12080b19-0b42-422b-821c-fb39e8eed2bd;Freezes after pressing any other button other than 1 or 2 after transaction.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10007,,,,,,,,,,,,,,,,,0|i0006n:,,,,,,,,,,,02/Feb/24 4:25 PM;712020:f6fecafc-b5da-438a-9ad0-de6a5d5ac48b;h2. *fixed in V1.1*,To Do,02/Feb/24 4:21 PM
Spelling Mistake After Making a Deposit in Savings Account - Spelling should be Would instead of Wood,S1A-4,10031,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,High,,,,Md Rakin Ashraf Khan,712020:f6fecafc-b5da-438a-9ad0-de6a5d5ac48b,Md Rakin Ashraf Khan,712020:f6fecafc-b5da-438a-9ad0-de6a5d5ac48b,02/Feb/24 3:54 PM,02/Feb/24 4:28 PM,04/Feb/24 7:34 PM,,ATM System - Lab 1 Version 1.0,,ATM System - Lab 1 Version 1.0,,0,"!image-20240202-225434.png|width=1732,height=836!",,Md Rakin Ashraf Khan,712020:f6fecafc-b5da-438a-9ad0-de6a5d5ac48b,,,,,,,,,02/Feb/24 3:54 PM;ug:12080b19-0b42-422b-821c-fb39e8eed2bd;image-20240202-225434.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10006,,,,,,,,,,,,,,,,,0|i0006f:,,,,,,,,,,,02/Feb/24 3:56 PM;712020:f6fecafc-b5da-438a-9ad0-de6a5d5ac48b;h2. *fixed in V1.1*,To Do,02/Feb/24 3:54 PM
Deposit 100.00 Dollars Into the Checking and Savings Account Deduct 10.00 Dollars from the Total Balance ,S1A-3,10030,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,High,,,,Md Rakin Ashraf Khan,712020:f6fecafc-b5da-438a-9ad0-de6a5d5ac48b,Md Rakin Ashraf Khan,712020:f6fecafc-b5da-438a-9ad0-de6a5d5ac48b,02/Feb/24 3:43 PM,03/Feb/24 11:17 PM,04/Feb/24 7:34 PM,,,,ATM System - Lab 1 Version 1.0,,0,"Tests completed confirm bug:

|*Function Tested*|*Initial State of System*|*Steps Taken to Produce Defect/Bug*|*Expected Outcome*|*Actual Outcome*|*Pass/Fail?*|
|Deposit in Savings Account|Card Number: 1
Savings Balance: $100.00|Deposit $100.00|Savings Balance: $199.90
Savings Available: $199.90|Savings Balance: $190.00
Savings Available: $100.00|Fail|

|Deposit in Checking Account|Card Number: 1
Checking Balance: $100.00|Deposit $20.00|Checking Balance: $119.90
Checking Available: $119.90|Checking Balance: $110.00
Checking Available: $100.00|Fail2|",,Md Rakin Ashraf Khan,712020:f6fecafc-b5da-438a-9ad0-de6a5d5ac48b,,,,,,,,,02/Feb/24 3:27 PM;ug:12080b19-0b42-422b-821c-fb39e8eed2bd;image-20240202-222849.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10005,,,,,,,,,,,,,,,,,0|i00067:,,,,,,,,,,,,To Do,02/Feb/24 3:43 PM
Withdrawal from the Checking Account Withdraws Wrong Amounts,S1A-2,10029,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,Highest,,,,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,01/Feb/24 9:56 PM,03/Feb/24 1:37 AM,05/Feb/24 9:40 PM,,,,ATM System - Lab 1 Version 1.0,,0,"In V1.0 when trying to withdraw a 20 dollar amount it ends up withdrawing 40 dollars

!Desktop Screenshot 2024.02.01 - 21.31.58.60.png|width=1440,height=810!

Steps to recreate the Bug:

Pre-Cond: you are running V1.0

1-Activate the machine 

2-Enter the number of 20-dollar bills in the machine 

3- Click insert Card

4-Enter Valid Card information (1 for number and for pin 42)

5-Click on your choice of withdrawal you want

||*Choice*||*Expected*||*Actual*||
|Click 1|Withdraw $20|Withdraw $40|
|Click 2|Withdraw $40|Withdraw $60|
|Click 3|Withdraw $60|Withdraw $100|
|Click 4|Withdraw $100|*Insufficient Funds*|
|Click 5|*Insufficient Funds* (+Since the amount in Checking is 100 at the start+) 
+*if Balance >=200*+ 
*Withdraw $200*|Withdraw $20|

 

h2.  *fixed in V1.1* ",,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,,,,,,,,,01/Feb/24 9:56 PM;712020:df4db3b4-9371-423b-8d04-6f61394f4827;Desktop Screenshot 2024.02.01 - 21.31.58.60.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10004,,,,,,,,,,,,,,,,,0|i0005z:,,,,,,,,,,,,To Do,01/Feb/24 9:56 PM
Balance inquiry for Money Market Account Gives Unknown Error and throws 500$,S1A-1,10028,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,Highest,,,,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,01/Feb/24 7:11 PM,03/Feb/24 3:43 AM,05/Feb/24 9:40 PM,,,,ATM System - Lab 1 Version 1.1,,0,"*1)When a user tries to enquire about the money market account in V1.0 it Generates Unkown error and throws for user who does not have access to the Money Market account 500$ and Gives the info for the SVGS account.*

*2)And for accounts that have access to the Money Market account it gives invalid type of account.*



1)

!Desktop Screenshot 2024.02.01 - 19.08.38.78.png|width=50%!

2)

!image-20240203-103148.png|width=413,height=263!

Steps to Recreation:

Pre Cond:

Running V1.0

 

Steps

to Get Case 1:

1- Click ON to activate the machine

2- Enter an arbitrary number of Bills 

3- Login as an account that does not have access to Money Market account.

4- Choose the Balance inquiry 

5- Choose Money Market

to Get Case 2:

1- Click ON to activate the machine

2- Enter an arbitrary number of Bills 

3- Login as an account that has access to Money Market account.

4- Choose the Balance inquiry 

5- Choose Money Market

 





*Fixed in V1.1*",,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,,,,,,,,,01/Feb/24 7:11 PM;712020:df4db3b4-9371-423b-8d04-6f61394f4827;Desktop Screenshot 2024.02.01 - 19.08.38.78.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10003,03/Feb/24 3:42 AM;712020:df4db3b4-9371-423b-8d04-6f61394f4827;image-20240203-103148.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10010,,,,,,,,,,,,,,,,0|i0005r:,,,,,,,,,,,,To Do,01/Feb/24 9:56 PM
